Plate,Well,BirdID,Sex,PairID,Treatment,NormCopyNumber,Target
1,A04,B230,M,L12,30_deg,0.011466873,HSP90B1
1,A05,B230,M,L12,30_deg,0.016866771,HSP90B1
1,A06,B230,M,L12,30_deg,0.015341711,HSP90B1
1,A07,B364,F,H6,40_deg,0.045627027,HSP90B1
1,A08,B364,F,H6,40_deg,0.045209103,HSP90B1
1,A09,B364,F,H6,40_deg,0.04308558,HSP90B1
1,A10,B221,M,L2,30_deg,0.010782984,HSP90B1
1,A11,B221,M,L2,30_deg,,HSP90B1
1,A12,B221,M,L2,30_deg,0.009384489,HSP90B1
1,B04,B193,F,H14,40_deg,,HSP90B1
1,B05,B193,F,H14,40_deg,,HSP90B1
1,B06,B193,F,H14,40_deg,,HSP90B1
1,B07,B372,M,L10,30_deg,,HSP90B1
1,B08,B372,M,L10,30_deg,,HSP90B1
1,B09,B372,M,L10,30_deg,,HSP90B1
1,B10,B275,M,H8,40_deg,,HSP90B1
1,B11,B275,M,H8,40_deg,,HSP90B1
1,B12,B275,M,H8,40_deg,,HSP90B1
1,C04,B371,M,L8,30_deg,0.049616377,HSP90B1
1,C05,B371,M,L8,30_deg,0.04642678,HSP90B1
1,C06,B371,M,L8,30_deg,0.039762184,HSP90B1
1,C07,B390,M,H16,40_deg,0.053084007,HSP90B1
1,C08,B390,M,H16,40_deg,0.042936489,HSP90B1
1,C09,B390,M,H16,40_deg,0.040096811,HSP90B1
1,C10,B403,F,L16,30_deg,0.052106759,HSP90B1
1,C11,B403,F,L16,30_deg,0.038767614,HSP90B1
1,C12,B403,F,L16,30_deg,0.04181826,HSP90B1
1,D04,B191,F,H8,40_deg,0.033128696,HSP90B1
1,D05,B191,F,H8,40_deg,0.027648506,HSP90B1
1,D06,B191,F,H8,40_deg,0.027815351,HSP90B1
1,D07,B239,F,L12,30_deg,,HSP90B1
1,D08,B239,F,L12,30_deg,,HSP90B1
1,D09,B239,F,L12,30_deg,,HSP90B1
1,D10,B365,M,H6,40_deg,0.029727949,HSP90B1
1,D11,B365,M,H6,40_deg,0.02992556,HSP90B1
1,D12,B365,M,H6,40_deg,0.03083154,HSP90B1
1,E04,B176,M,L14,30_deg,,HSP90B1
1,E05,B176,M,L14,30_deg,,HSP90B1
1,E06,B176,M,L14,30_deg,,HSP90B1
1,E07,B248,M,H12,40_deg,,HSP90B1
1,E08,B248,M,H12,40_deg,,HSP90B1
1,E09,B248,M,H12,40_deg,,HSP90B1
1,E10,B209,M,L6,30_deg,,HSP90B1
1,E11,B209,M,L6,30_deg,,HSP90B1
1,E12,B209,M,L6,30_deg,,HSP90B1
1,F04,B195,F,H4,40_deg,,HSP90B1
1,F05,B195,F,H4,40_deg,,HSP90B1
1,F06,B195,F,H4,40_deg,,HSP90B1
1,F07,B368,M,L4,30_deg,,HSP90B1
1,F08,B368,M,L4,30_deg,,HSP90B1
1,F09,B368,M,L4,30_deg,,HSP90B1
1,F10,B336,F,H10,40_deg,0.101336031,HSP90B1
1,F11,B336,F,H10,40_deg,0.089993962,HSP90B1
