Plate,Well,Fluor,Target,Content,Sample,BirdID,Sex,DateOfSampling,Cq,Cq Mean,Cq_Diff,Cq Std. Dev,CqMin,CqMax,SQ Std. Dev,Starting Quantity (SQ),Dilution Factor,Copy_Number
1,A04,FAM,HSP90AA1,Unkn-01,Cool,24281,F,1/3/2018,33.390126,33.28190385,0.10822215,0.260327543,33.02157631,33.54223139,8.509200624,41.25263771,5,206.2631885
1,A05,FAM,HSP90AA1,Unkn-01,Cool,24281,F,1/3/2018,33.47066394,33.28190385,0.188760092,0.260327543,33.02157631,33.54223139,8.509200624,38.99808898,5,194.9904449
1,A06,FAM,HSP90AA1,Unkn-01,Cool,24281,F,1/3/2018,32.98492161,33.28190385,0.296982243,0.260327543,33.02157631,33.54223139,8.509200624,54.73382813,5,273.6691406
1,A07,FAM,HSP90AA1,Unkn-09,Hot,23894,M,1/8/2018,32.00891415,32.00614732,0.002766828,0.023814769,31.98233255,32.02996209,1.80357971,108.1562268,5,540.7811341
1,A08,FAM,HSP90AA1,Unkn-09,Hot,23894,M,1/8/2018,32.02845783,32.00614732,0.022310503,0.023814769,31.98233255,32.02996209,1.80357971,106.6911716,5,533.4558578
1,A09,FAM,HSP90AA1,Unkn-09,Hot,23894,M,1/8/2018,31.98106999,32.00614732,0.025077331,0.023814769,31.98233255,32.02996209,1.80357971,110.2783286,5,551.391643
1,A10,FAM,HSP90AA1,Unkn-17,Cool,23870,M,1/4/2018,34.37132584,34.54761567,0.176289834,0.152726777,34.3948889,34.70034245,2.024238114,20.8009121,5,104.0045605
1,A11,FAM,HSP90AA1,Unkn-17,Cool,23870,M,1/4/2018,34.63165097,34.54761567,0.084035291,0.152726777,34.3948889,34.70034245,2.024238114,17.3454835,5,86.72741748
1,A12,FAM,HSP90AA1,Unkn-17,Cool,23870,M,1/4/2018,34.63987022,34.54761567,0.092254544,0.152726777,34.3948889,34.70034245,2.024238114,17.2462797,5,86.23139852
1,B04,FAM,HSP90AA1,Unkn-02,Hot,23882,F,1/8/2018,35.29004349,35.24836296,0.041680531,0.149099611,35.09926335,35.39746257,1.199619906,10.95593197,5,54.77965986
1,B05,FAM,HSP90AA1,Unkn-02,Hot,23882,F,1/8/2018,35.08285845,35.24836296,0.165504511,0.149099611,35.09926335,35.39746257,1.199619906,12.66019186,5,63.30095929
1,B06,FAM,HSP90AA1,Unkn-02,Hot,23882,F,1/8/2018,35.37218694,35.24836296,0.123823979,0.149099611,35.09926335,35.39746257,1.199619906,10.34556835,5,51.72784174
1,B08,FAM,HSP90AA1,Unkn-10,Cool,23871,M,1/4/2018,35.73445886,35.62324857,0.111210288,1.761156853,33.86209172,37.38440542,4.480199471,8.034552097,5,40.17276049
1,B09,FAM,HSP90AA1,Unkn-10,Cool,23871,M,1/4/2018,35.51203828,35.62324857,0.111210288,1.761156853,33.86209172,37.38440542,4.480199471,9.383611514,5,46.91805757
1,C04,FAM,HSP90AA1,Unkn-03,Cool,24508,F,1/16/2018,29.64813263,29.17388429,0.474248331,0.444095176,28.72978912,29.61797947,238.5637846,561.7287194,5,2808.643597
1,C05,FAM,HSP90AA1,Unkn-03,Cool,24508,F,1/16/2018,29.10568886,29.17388429,0.068195436,0.444095176,28.72978912,29.61797947,238.5637846,820.2069836,5,4101.034918
1,C06,FAM,HSP90AA1,Unkn-03,Cool,24508,F,1/16/2018,28.7678314,29.17388429,0.406052895,0.444095176,28.72978912,29.61797947,238.5637846,1038.28583,5,5191.42915
1,C07,FAM,HSP90AA1,Unkn-11,Cool,23866,F,1/3/2018,37.65141897,37.23449124,0.416927726,0.363945661,36.87054558,37.5984369,0.675124328,2.108600086,5,10.54300043
