Plate,Well,Fluor,Target,Content,Sample,BirdID,Sex,PairID,Cq,Cq Mean,Cq_Diff,Cq Std. Dev,SQ Std. Dev,Starting Quantity (SQ),Dilution Factor,Copy_Number
1,A04,Cy5,HSP60,Unkn-01,30_deg,B230,M,L12,29.3668368,29.36802127,0.001184469,0.025666265,12457.89238,732982.0805,5,3664910.402
1,A05,Cy5,HSP60,Unkn-01,30_deg,B230,M,L12,29.34296775,29.36802127,0.025053524,0.025666265,12457.89238,744675.1551,5,3723375.776
1,A06,Cy5,HSP60,Unkn-01,30_deg,B230,M,L12,29.39425926,29.36802127,0.026237992,0.025666265,12457.89238,719774.7139,5,3598873.57
1,A07,Cy5,HSP60,Unkn-02,40_deg,B364,F,H6,29.79925354,29.84919149,0.049937949,0.110771858,38362.29571,550264.48,5,2751322.4
1,A08,Cy5,HSP60,Unkn-02,40_deg,B364,F,H6,29.97614113,29.84919149,0.126949637,0.110771858,38362.29571,489365.8293,5,2446829.146
1,A09,Cy5,HSP60,Unkn-02,40_deg,B364,F,H6,29.7721798,29.84919149,0.077011688,0.110771858,38362.29571,560231.8956,5,2801159.478
1,A10,Cy5,HSP60,Unkn-03,30_deg,B221,M,L2,29.94824697,29.96817504,0.019928066,0.101357874,32777.59625,498501.2431,5,2492506.215
1,A11,Cy5,HSP60,Unkn-03,30_deg,B221,M,L2,29.87826128,29.96817504,0.089913756,0.101357874,32777.59625,522179.5206,5,2610897.603
1,A12,Cy5,HSP60,Unkn-03,30_deg,B221,M,L2,30.07801686,29.96817504,0.109841821,0.101357874,32777.59625,457400.6347,5,2287003.174
1,B04,Cy5,HSP60,Unkn-04,40_deg,B193,F,H14,31.17649388,30.96265592,0.213837959,0.199181456,33172.96137,220785.8883,5,1103929.441
1,B05,Cy5,HSP60,Unkn-04,40_deg,B193,F,H14,30.92907348,30.96265592,0.03358244,0.199181456,33172.96137,260147.8814,5,1300739.407
1,B06,Cy5,HSP60,Unkn-04,40_deg,B193,F,H14,30.78240041,30.96265592,0.180255518,0.199181456,33172.96137,286719.5736,5,1433597.868
1,B07,Cy5,HSP60,Unkn-05,30_deg,B372,M,L10,30.48233389,30.49727614,0.014942252,0.016437451,3770.567814,349837.7598,5,1749188.799
1,B08,Cy5,HSP60,Unkn-05,30_deg,B372,M,L10,30.49461136,30.49727614,0.002664782,0.016437451,3770.567814,347001.3572,5,1735006.786
