Plate,Well,Fluor,Target,Content,Sample,Cq,Cq Mean,Cq_Diff,Cq Std. Dev,CqMin,CqMax,SQ Std. Dev,Starting Quantity (SQ),Dilution Factor,Copy_Number
1,A04,FAM,HSP90AA1,Unkn-01,30C,27.91139951,28.19931339,0.28791388,0.579752082,27.61956131,28.77906547,456.3821356,1629.303092,5,8146.51546
1,A05,FAM,HSP90AA1,Unkn-01,30C,28.48722727,28.19931339,0.28791388,0.579752082,27.61956131,28.77906547,456.3821356,1087.748201,5,5438.741006
1,A07,FAM,HSP90AA1,Unkn-09,40C,31.00268976,31.28571515,0.283025389,0.666464816,30.61925033,31.95217997,56.49995884,186.2022276,5,931.011138
1,A09,FAM,HSP90AA1,Unkn-09,40C,31.56874054,31.28571515,0.283025389,0.666464816,30.61925033,31.95217997,56.49995884,125.1672556,5,625.836278
1,A10,FAM,HSP90AA1,Unkn-17,30C,34.14141235,34.06156928,0.079843062,0.459012339,33.60255695,34.52058162,9.262708747,20.5832374,5,102.916187
1,A12,FAM,HSP90AA1,Unkn-17,30C,33.98172622,34.06156928,0.079843062,0.459012339,33.60255695,34.52058162,9.262708747,23.02370731,5,115.1185366
1,B04,FAM,HSP90AA1,Unkn-02,40C,30.15389356,30.485752,0.331858441,0.767816746,29.71793526,31.25356875,111.5291553,337.7853193,5,1688.926596
1,B05,FAM,HSP90AA1,Unkn-02,40C,30.81761045,30.485752,0.331858441,0.767816746,29.71793526,31.25356875,111.5291553,212.023783,5,1060.118915
1,B10,FAM,HSP90AA1,Unkn-18,40C,35.09629752,34.99608157,0.100215958,0.518293257,34.47778831,35.51437482,5.619886215,10.53244042,5,52.66220211
1,B12,FAM,HSP90AA1,Unkn-18,40C,34.89586561,34.99608157,0.100215958,0.518293257,34.47778831,35.51437482,5.619886215,12.12291768,5,60.61458841
1,C04,FAM,HSP90AA1,Unkn-03,30C,32.41061696,32.67697308,0.266356125,0.548817174,32.12815591,33.22579026,18.69751159,69.33356229,5,346.6678115
1,C05,FAM,HSP90AA1,Unkn-03,30C,32.94332921,32.67697308,0.266356125,0.548817174,32.12815591,33.22579026,18.69751159,47.70992228,5,238.5496114
1,C08,FAM,HSP90AA1,Unkn-11,40C,30.00263628,30.01194824,0.009311951,0.623518223,29.38843001,30.63546646,114.4866989,375.607105,5,1878.035525
1,C09,FAM,HSP90AA1,Unkn-11,40C,30.02126019,30.01194824,0.009311951,0.623518223,29.38843001,30.63546646,114.4866989,370.7306463,5,1853.653232
1,C10,FAM,HSP90AA1,Unkn-19,30C,31.84316816,31.58540926,0.257758897,0.226059215,31.35935005,31.81146848,18.9083689,103.2437283,5,516.2186417
1,C11,FAM,HSP90AA1,Unkn-19,30C,31.42085024,31.58540926,0.16455902,0.226059215,31.35935005,31.81146848,18.9083689,138.8537871,5,694.2689355
1,C12,FAM,HSP90AA1,Unkn-19,30C,31.49220939,31.58540926,0.093199877,0.226059215,31.35935005,31.81146848,18.9083689,132.0724608,5,660.362304
1,D05,FAM,HSP90AA1,Unkn-04,40C,32.03264735,32.13279756,0.100150201,0.457407011,31.67539054,32.59020457,35.41144579,90.39058266,5,451.9529133
1,D06,FAM,HSP90AA1,Unkn-04,40C,32.23294776,32.13279756,0.100150201,0.457407011,31.67539054,32.59020457,35.41144579,78.53895481,5,392.6947741
1,D07,FAM,HSP90AA1,Unkn-12,30C,29.15093603,29.15914466,0.008208624,0.1196683,29.03947636,29.27881296,56.83956732,682.7703556,5,3413.851778
1,D08,FAM,HSP90AA1,Unkn-12,30C,29.28270593,29.15914466,0.123561274,0.1196683,29.03947636,29.27881296,56.83956732,622.4723558,5,3112.361779
1,D09,FAM,HSP90AA1,Unkn-12,30C,29.04379201,29.15914466,0.11535265,0.1196683,29.03947636,29.27881296,56.83956732,736.0798643,5,3680.399322
1,D10,FAM,HSP90AA1,Unkn-20,40C,32.94521151,33.3238558,0.378644288,1.264970983,32.05888481,34.58882678,70.29153289,47.64695054,5,238.2347527
1,D12,FAM,HSP90AA1,Unkn-20,40C,33.70250009,33.3238558,0.378644288,1.264970983,32.05888481,34.58882678,70.29153289,28.00686971,5,140.0343485
1,E04,FAM,HSP90AA1,Unkn-05,30C,28.5996484,28.82175745,0.222109055,0.488420532,28.33333692,29.31017798,249.400355,1005.240524,5,5026.202622
1,E05,FAM,HSP90AA1,Unkn-05,30C,29.04386651,28.82175745,0.222109055,0.488420532,28.33333692,29.31017798,249.400355,736.0413866,5,3680.206933
1,E07,FAM,HSP90AA1,Unkn-13,40C,32.21385647,31.9665782,0.24727827,0.294479805,31.6720984,32.26105801,20.47786736,79.59812811,5,397.9906405
1,E08,FAM,HSP90AA1,Unkn-13,40C,32.0450738,31.9665782,0.078495593,0.294479805,31.6720984,32.26105801,20.47786736,89.60586644,5,448.0293322
1,E09,FAM,HSP90AA1,Unkn-13,40C,31.64080434,31.9665782,0.325773863,0.294479805,31.6720984,32.26105801,20.47786736,118.9955001,5,594.9775004
1,E11,FAM,HSP90AA1,Unkn-21,30C,32.78048668,32.92845157,0.14796489,0.682206557,32.24624501,33.61065813,34.90734515,53.4850174,5,267.425087
1,E12,FAM,HSP90AA1,Unkn-21,30C,33.07641646,32.92845157,0.14796489,0.682206557,32.24624501,33.61065813,34.90734515,43.45629346,5,217.2814673
1,F04,FAM,HSP90AA1,Unkn-06,40C,31.36876727,31.61948839,0.250721116,0.677248401,30.94223999,32.29673679,43.90159316,144.0220899,5,720.1104496
1,F05,FAM,HSP90AA1,Unkn-06,40C,31.87020951,31.61948839,0.250721116,0.677248401,30.94223999,32.29673679,43.90159316,101.3032312,5,506.5161562
