Plate,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq_Diff,Cq Std. Dev,CqMin,CqMax,SQ Std. Dev,Starting Quantity (SQ),Dilution Factor,Copy_Number
1,A04,Cy5,HSP90B1,Unkn-01,30C,,34.06839205,33.91196982,0.156422228,0.23411448,33.67785534,34.1460843,3.385069391,18.04909217,5,90.24546083
1,A05,Cy5,HSP90B1,Unkn-01,30C,,33.64281721,33.91196982,0.269152609,0.23411448,33.67785534,34.1460843,3.385069391,24.16743955,5,120.8371978
1,A06,Cy5,HSP90B1,Unkn-01,30C,,34.0247002,33.91196982,0.112730381,0.23411448,33.67785534,34.1460843,3.385069391,18.59819548,5,92.9909774
1,A07,Cy5,HSP90B1,Unkn-09,40C,,33.9849438,33.55195798,0.43298582,0.411814138,33.14014384,33.96377212,7.212694845,19.11234243,5,95.56171216
1,A08,Cy5,HSP90B1,Unkn-09,40C,,33.50571002,33.55195798,0.046247959,0.411814138,33.14014384,33.96377212,7.212694845,26.55056443,5,132.7528222
1,A09,Cy5,HSP90B1,Unkn-09,40C,,33.16522012,33.55195798,0.386737862,0.411814138,33.14014384,33.96377212,7.212694845,33.5353565,5,167.6767825
1,A10,Cy5,HSP90B1,Unkn-17,30C,,33.84651672,33.97155839,0.125041675,0.466018412,33.50553998,34.4375768,4.930865952,21.01600764,5,105.0800382
1,A12,Cy5,HSP90B1,Unkn-17,30C,,34.09660007,33.97155839,0.125041675,0.466018412,33.50553998,34.4375768,4.930865952,17.70322645,5,88.51613223
1,C04,Cy5,HSP90B1,Unkn-03,30C,,33.73643064,33.84491935,0.108488714,0.209291007,33.63562835,34.05421036,2.90714847,22.66438631,5,113.3219315
1,C05,Cy5,HSP90B1,Unkn-03,30C,,33.71214667,33.84491935,0.132772687,0.209291007,33.63562835,34.05421036,2.90714847,23.0450663,5,115.2253315
1,C06,Cy5,HSP90B1,Unkn-03,30C,,34.08618075,33.84491935,0.241261401,0.209291007,33.63562835,34.05421036,2.90714847,17.83020158,5,89.15100789
1,C07,Cy5,HSP90B1,Unkn-11,40C,,32.82287662,32.99279467,0.169918048,0.15150176,32.84129291,33.14429643,4.018837586,42.41156198,5,212.0578099
1,C08,Cy5,HSP90B1,Unkn-11,40C,,33.04171654,32.99279467,0.048921877,0.15150176,32.84129291,33.14429643,4.018837586,36.50006483,5,182.5003242
1,C09,Cy5,HSP90B1,Unkn-11,40C,,33.11379084,32.99279467,0.12099617,0.15150176,32.84129291,33.14429643,4.018837586,34.7394782,5,173.697391
1,C10,Cy5,HSP90B1,Unkn-19,30C,,33.36532153,33.7676981,0.402376578,0.360053729,33.40764437,34.12775183,5.825505835,29.2344109,5,146.1720545
1,C11,Cy5,HSP90B1,Unkn-19,30C,,33.87828559,33.7676981,0.110587488,0.360053729,33.40764437,34.12775183,5.825505835,20.56300253,5,102.8150126
1,C12,Cy5,HSP90B1,Unkn-19,30C,,34.05948719,33.7676981,0.29178909,0.360053729,33.40764437,34.12775183,5.825505835,18.15967398,5,90.79836988
1,D04,Cy5,HSP90B1,Unkn-04,40C,,32.90689853,33.11291572,0.206017182,0.180145741,32.93276997,33.29306146,4.446999708,40.0363819,5,200.1819095
1,D05,Cy5,HSP90B1,Unkn-04,40C,,33.24082769,33.11291572,0.127911973,0.180145741,32.93276997,33.29306146,4.446999708,31.84051234,5,159.2025617
1,D06,Cy5,HSP90B1,Unkn-04,40C,,33.19102092,33.11291572,0.078105209,0.180145741,32.93276997,33.29306146,4.446999708,32.9470911,5,164.7354555
1,D10,Cy5,HSP90B1,Unkn-20,40C,,32.49186939,32.64883268,0.156963286,0.135994411,32.51283827,32.78482709,4.584043462,53.22168547,5,266.1084273
1,D11,Cy5,HSP90B1,Unkn-20,40C,,32.7232677,32.64883268,0.074435024,0.135994411,32.51283827,32.78482709,4.584043462,45.41056988,5,227.0528494
1,D12,Cy5,HSP90B1,Unkn-20,40C,,32.73136094,32.64883268,0.082528262,0.135994411,32.51283827,32.78482709,4.584043462,45.15917948,5,225.7958974
