,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,Cy5,HSP60,Std-01,,,27.1987370353897,27.2468327719757,0.0680176429722742,3000000,6.47712125471966,3000000,0,64,
,A03,Cy5,HSP60,Std-01,,,27.2949285085618,27.2468327719757,0.0680176429722742,3000000,6.47712125471966,3000000,0,64,
,A04,Cy5,HSP60,Unkn-01,30_deg,,29.3668368005305,29.3680212691004,0.025666264551639,732982.080456057,5.86509335737758,732477.316502719,12457.8923847363,64,
,A05,Cy5,HSP60,Unkn-01,30_deg,,29.3429677452236,29.3680212691004,0.025666264551639,744675.155113784,5.87196686454972,732477.316502719,12457.8923847363,64,
,A06,Cy5,HSP60,Unkn-01,30_deg,,29.3942592615471,29.3680212691004,0.025666264551639,719774.713938317,5.85719658559287,732477.316502719,12457.8923847363,64,
,A07,Cy5,HSP60,Unkn-02,40_deg,,29.7992535438892,29.8491914929922,0.110771858358455,550264.47995242,5.74057147963192,533287.401626046,38362.295708461,64,
,A08,Cy5,HSP60,Unkn-02,40_deg,,29.9761411300917,29.8491914929922,0.110771858358455,489365.829278435,5.68963364079443,533287.401626046,38362.295708461,64,
,A09,Cy5,HSP60,Unkn-02,40_deg,,29.7721798049957,29.8491914929922,0.110771858358455,560231.895647284,5.74836783085186,533287.401626046,38362.295708461,64,
,A10,Cy5,HSP60,Unkn-03,30_deg,,29.9482469730152,29.9681750385672,0.101357873509477,498501.243073572,5.69766624561522,492693.799470596,32777.5962483001,64,
,A11,Cy5,HSP60,Unkn-03,30_deg,,29.8782612826468,29.9681750385672,0.101357873509477,522179.5206238,5.71781983521101,492693.799470596,32777.5962483001,64,
,A12,Cy5,HSP60,Unkn-03,30_deg,,30.0780168600396,29.9681750385672,0.101357873509477,457400.634714416,5.66029676292219,492693.799470596,32777.5962483001,64,
,B01,Cy5,HSP60,Std-02,,,28.1583569384303,28.4160808286996,0.314219898553967,1500000,6.17609125905568,1500000,0,64,
,B02,Cy5,HSP60,Std-02,,,28.323768765561,28.4160808286996,0.314219898553967,1500000,6.17609125905568,1500000,0,64,
,B03,Cy5,HSP60,Std-02,,,28.7661167821074,28.4160808286996,0.314219898553967,1500000,6.17609125905568,1500000,0,64,
,B04,Cy5,HSP60,Unkn-04,40_deg,,31.176493882555,30.9626559239377,0.199181455848802,220785.888258076,5.34397131159564,255884.447751865,33172.9613707765,64,
,B05,Cy5,HSP60,Unkn-04,40_deg,,30.9290734835768,30.9626559239377,0.199181455848802,260147.881375809,5.41522029338584,255884.447751865,33172.9613707765,64,
,B06,Cy5,HSP60,Unkn-04,40_deg,,30.7824004056812,30.9626559239377,0.199181455848802,286719.57362171,5.4574573421468,255884.447751865,33172.9613707765,64,
,B07,Cy5,HSP60,Unkn-05,30_deg,,30.4823338907603,30.4972761428002,0.0164374511489761,349837.759760994,5.54386668327531,346402.474229202,3770.567814387,64,
,B08,Cy5,HSP60,Unkn-05,30_deg,,30.4946113609547,30.4972761428002,0.0164374511489761,347001.357230307,5.54033117345508,346402.474229202,3770.567814387,64,
,B09,Cy5,HSP60,Unkn-05,30_deg,,30.5148831766856,30.4972761428002,0.0164374511489761,342368.305696303,5.5344935536152,346402.474229202,3770.567814387,64,
,B10,Cy5,HSP60,Unkn-06,40_deg,,30.2880063915211,30.2898243980949,0.0386315032834025,397948.293433644,5.59982664660821,397555.755147774,10173.5105632188,64,
,B11,Cy5,HSP60,Unkn-06,40_deg,,30.2521339948448,30.2898243980949,0.0386315032834025,407527.315293853,5.61015672346573,397555.755147774,10173.5105632188,64,
,B12,Cy5,HSP60,Unkn-06,40_deg,,30.3293328079188,30.2898243980949,0.0386315032834025,387191.656715826,5.5879259904718,397555.755147774,10173.5105632188,64,
,C01,Cy5,HSP60,Std-03,,,29.1378260246654,29.2697003121242,0.140564546501063,750000,5.8750612633917,750000,0,64,
,C02,Cy5,HSP60,Std-03,,,29.4175842127356,29.2697003121242,0.140564546501063,750000,5.8750612633917,750000,0,64,
,C03,Cy5,HSP60,Std-03,,,29.2536906989715,29.2697003121242,0.140564546501063,750000,5.8750612633917,750000,0,64,
,C04,Cy5,HSP60,Unkn-07,30_deg,,32.449867709637,32.4637199081695,0.0412103812023561,94903.2972343724,4.97728130142432,94058.9153874593,2554.20363950561,64,
,C05,Cy5,HSP60,Unkn-07,30_deg,,32.4312203436403,32.4637199081695,0.0412103812023561,96084.0129031771,4.98265113287645,94058.9153874593,2554.20363950561,64,
,C06,Cy5,HSP60,Unkn-07,30_deg,,32.5100716712311,32.4637199081695,0.0412103812023561,91189.4360248284,4.95994452975541,94058.9153874593,2554.20363950561,64,
,C07,Cy5,HSP60,Unkn-08,40_deg,,28.882448364291,28.9161327898167,0.0890480897867779,1010604.86058208,6.00458138268007,989420.931967376,57551.6036659593,64,
