Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
A01,FAM,HSP90AA1,Std-01,,,16.0361689,15.79440997,0.260366641,10000000,7,10000000,0,64,
A02,FAM,HSP90AA1,Std-01,,,15.51875566,15.79440997,0.260366641,10000000,7,10000000,0,64,
A03,FAM,HSP90AA1,Std-01,,,15.82830533,15.79440997,0.260366641,10000000,7,10000000,0,64,
A04,FAM,HSP90AA1,Unkn-01,30C,,27.91139951,28.48984054,0.579752082,1629.303092,3.212001882,1146.421719,456.3821356,64,
A05,FAM,HSP90AA1,Unkn-01,30C,,28.48722727,28.48984054,0.579752082,1087.748201,3.036528374,1146.421719,456.3821356,64,
A06,FAM,HSP90AA1,Unkn-01,30C,,29.07089484,28.48984054,0.579752082,722.2138627,2.85866582,1146.421719,456.3821356,64,
A07,FAM,HSP90AA1,Unkn-09,40C,,31.00268976,31.63407894,0.666464816,186.2022276,2.269984872,128.2321862,56.49995884,64,
A08,FAM,HSP90AA1,Unkn-09,40C,,32.33080651,31.63407894,0.666464816,73.32707534,1.865264363,128.2321862,56.49995884,64,
A09,FAM,HSP90AA1,Unkn-09,40C,,31.56874054,31.63407894,0.666464816,125.1672556,2.09749073,128.2321862,56.49995884,64,
A10,FAM,HSP90AA1,Unkn-17,30C,,34.14141235,33.8005984,0.459012339,20.5832374,1.313513683,27.10469234,9.262708747,64,
A11,FAM,HSP90AA1,Unkn-17,30C,,33.27865662,33.8005984,0.459012339,37.70713231,1.576423505,27.10469234,9.262708747,64,
A12,FAM,HSP90AA1,Unkn-17,30C,,33.98172622,33.8005984,0.459012339,23.02370731,1.362175256,27.10469234,9.262708747,64,
B01,FAM,HSP90AA1,Std-02,,,18.50146439,18.50431436,0.004030471,1000000,6,1000000,0,64,
B03,FAM,HSP90AA1,Std-02,,,18.50716433,18.50431436,0.004030471,1000000,6,1000000,0,64,
B04,FAM,HSP90AA1,Unkn-02,40C,,30.15389356,30.88550715,0.767816746,337.7853193,2.52864077,221.7232214,111.5291553,64,
B05,FAM,HSP90AA1,Unkn-02,40C,,30.81761045,30.88550715,0.767816746,212.023783,2.326384579,221.7232214,111.5291553,64,
B06,FAM,HSP90AA1,Unkn-02,40C,,31.68501744,30.88550715,0.767816746,115.360562,2.062057363,221.7232214,111.5291553,64,
B07,FAM,HSP90AA1,Unkn-10,30C,,30.83195956,31.96041481,1.171954534,209.8997564,2.322011935,117.1057864,85.79900083,64,
B08,FAM,HSP90AA1,Unkn-10,30C,,33.17149558,31.96041481,1.171954534,40.65172415,1.60907897,117.1057864,85.79900083,64,
B09,FAM,HSP90AA1,Unkn-10,30C,,31.87778927,31.96041481,1.171954534,100.7658787,2.003313496,117.1057864,85.79900083,64,
B10,FAM,HSP90AA1,Unkn-18,40C,,35.09629752,34.70249191,0.518293257,10.53244042,1.022529011,14.53967306,5.619886215,64,
B11,FAM,HSP90AA1,Unkn-18,40C,,34.11531259,34.70249191,0.518293257,20.96366109,1.32146713,14.53967306,5.619886215,64,
B12,FAM,HSP90AA1,Unkn-18,40C,,34.89586561,34.70249191,0.518293257,12.12291768,1.083607156,14.53967306,5.619886215,64,
C01,FAM,HSP90AA1,Std-03,,,21.87975596,21.84375428,0.037219375,100000,5,100000,0,64,
C02,FAM,HSP90AA1,Std-03,,,21.84608055,21.84375428,0.037219375,100000,5,100000,0,64,
C03,FAM,HSP90AA1,Std-03,,,21.80542634,21.84375428,0.037219375,100000,5,100000,0,64,
C04,FAM,HSP90AA1,Unkn-03,30C,,32.41061696,32.95401382,0.548817174,69.33356229,1.840943514,49.7145201,18.69751159,64,
C05,FAM,HSP90AA1,Unkn-03,30C,,32.94332921,32.95401382,0.548817174,47.70992228,1.678608709,49.7145201,18.69751159,64,
C06,FAM,HSP90AA1,Unkn-03,30C,,33.50809529,32.95401382,0.548817174,32.10007573,1.506506057,49.7145201,18.69751159,64,
C07,FAM,HSP90AA1,Unkn-11,40C,,31.09179303,30.3718965,0.623518223,174.9170717,2.242832198,307.084941,114.4866989,64,
C08,FAM,HSP90AA1,Unkn-11,40C,,30.00263628,30.3718965,0.623518223,375.607105,2.574733799,307.084941,114.4866989,64,
C09,FAM,HSP90AA1,Unkn-11,40C,,30.02126019,30.3718965,0.623518223,370.7306463,2.569058488,307.084941,114.4866989,64,
C10,FAM,HSP90AA1,Unkn-19,30C,,31.84316816,31.58540926,0.226059215,103.2437283,2.013863679,124.7233254,18.9083689,64,
C11,FAM,HSP90AA1,Unkn-19,30C,,31.42085024,31.58540926,0.226059215,138.8537871,2.142557729,124.7233254,18.9083689,64,
C12,FAM,HSP90AA1,Unkn-19,30C,,31.49220939,31.58540926,0.226059215,132.0724608,2.12081227,124.7233254,18.9083689,64,
D01,FAM,HSP90AA1,Std-04,,,25.31899218,25.26215199,0.04964729,10000,4,10000,0,64,
