Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
A01,FAM,HSP90AA1,Std-01,,,15.92481056,15.75641284,0.179834772,10000000,7,10000000,0,64,
A02,FAM,HSP90AA1,Std-01,,,15.56698945,15.75641284,0.179834772,10000000,7,10000000,0,64,
A03,FAM,HSP90AA1,Std-01,,,15.77743851,15.75641284,0.179834772,10000000,7,10000000,0,64,
A04,FAM,HSP90AA1,Unkn-25,40C,,28.14659861,28.89809319,0.956653134,1386.913695,3.142049437,934.1564478,507.1914836,64,
A05,FAM,HSP90AA1,Unkn-25,40C,,28.57267921,28.89809319,0.956653134,1029.494092,3.012623859,934.1564478,507.1914836,64,
A06,FAM,HSP90AA1,Unkn-25,40C,,29.97500176,28.89809319,0.956653134,386.0615559,2.586656557,934.1564478,507.1914836,64,
B01,FAM,HSP90AA1,Std-02,,,18.53022261,18.34473017,0.164362028,1000000,6,1000000,0,64,
B02,FAM,HSP90AA1,Std-02,,,18.28675884,18.34473017,0.164362028,1000000,6,1000000,0,64,
B03,FAM,HSP90AA1,Std-02,,,18.21720906,18.34473017,0.164362028,1000000,6,1000000,0,64,
B04,FAM,HSP90AA1,Unkn-26,30C,,31.1381672,31.45625978,0.276220617,171.1335837,2.233335245,138.769099,28.08226249,64,
B05,FAM,HSP90AA1,Unkn-26,30C,,31.59504133,31.45625978,0.276220617,124.3242577,2.094555875,138.769099,28.08226249,64,
B06,FAM,HSP90AA1,Unkn-26,30C,,31.63557082,31.45625978,0.276220617,120.8494556,2.082244698,138.769099,28.08226249,64,
C01,FAM,HSP90AA1,Std-03,,,21.98244843,21.91468608,0.12160889,100000,5,100000,0,64,
C02,FAM,HSP90AA1,Std-03,,,21.98731743,21.91468608,0.12160889,100000,5,100000,0,64,
C03,FAM,HSP90AA1,Std-03,,,21.77429237,21.91468608,0.12160889,100000,5,100000,0,64,
C04,FAM,HSP90AA1,Unkn-27,40C,,29.23314951,30.03410635,0.944198551,648.6350858,2.812000437,421.881455,235.3198852,64,
C05,FAM,HSP90AA1,Unkn-27,40C,,31.07517981,30.03410635,0.944198551,178.8414546,2.252468194,421.881455,235.3198852,64,
C06,FAM,HSP90AA1,Unkn-27,40C,,29.79398974,30.03410635,0.944198551,438.1678246,2.641640483,421.881455,235.3198852,64,
D01,FAM,HSP90AA1,Std-04,,,25.43509512,25.4271927,0.013393998,10000,4,10000,0,64,
D02,FAM,HSP90AA1,Std-04,,,25.41172789,25.4271927,0.013393998,10000,4,10000,0,64,
D03,FAM,HSP90AA1,Std-04,,,25.43475508,25.4271927,0.013393998,10000,4,10000,0,64,
D04,FAM,HSP90AA1,Unkn-28,30C,,35.08618498,34.72738169,0.660562952,10.81661923,1.034091542,14.99812074,7.532808448,64,
D05,FAM,HSP90AA1,Unkn-28,30C,,35.1308939,34.72738169,0.660562952,10.48360944,1.020510833,14.99812074,7.532808448,64,
D06,FAM,HSP90AA1,Unkn-28,30C,,33.96506619,34.72738169,0.660562952,23.69413357,1.374640832,14.99812074,7.532808448,64,
E01,FAM,HSP90AA1,Std-05,,,28.51451886,28.69454253,0.155905375,1000,3,1000,0,64,
E02,FAM,HSP90AA1,Std-05,,,28.78424696,28.69454253,0.155905375,1000,3,1000,0,64,
E03,FAM,HSP90AA1,Std-05,,,28.78486176,28.69454253,0.155905375,1000,3,1000,0,64,
E04,FAM,HSP90AA1,Unkn-29,40C,,33.25678883,32.82912464,0.705813053,38.88535379,1.589786055,57.2027901,30.76030584,64,
E05,FAM,HSP90AA1,Unkn-29,40C,,32.01446014,32.82912464,0.705813053,92.71582594,1.967153871,57.2027901,30.76030584,64,
E06,FAM,HSP90AA1,Unkn-29,40C,,33.21612494,32.82912464,0.705813053,40.00719056,1.602138055,57.2027901,30.76030584,64,
F01,FAM,HSP90AA1,Std-06,,,31.90858808,31.99507144,0.121997418,100,2,100,0,64,
F02,FAM,HSP90AA1,Std-06,,,32.13461391,31.99507144,0.121997418,100,2,100,0,64,
F03,FAM,HSP90AA1,Std-06,,,31.94201234,31.99507144,0.121997418,100,2,100,0,64,
F04,FAM,HSP90AA1,Unkn-30,30C,,33.91775244,34.67965859,0.913374976,24.49135323,1.389012782,16.23298341,8.740249165,64,
F05,FAM,HSP90AA1,Unkn-30,30C,,34.42904369,34.67965859,0.913374976,17.12788562,1.233703754,16.23298341,8.740249165,64,
F06,FAM,HSP90AA1,Unkn-30,30C,,35.69217964,34.67965859,0.913374976,7.079711378,0.850015553,16.23298341,8.740249165,64,
G01,FAM,HSP90AA1,Std-07,,,35.26097342,35.12240328,0.126302788,10,1,10,0,64,
G02,FAM,HSP90AA1,Std-07,,,35.09250263,35.12240328,0.126302788,10,1,10,0,64,
G03,FAM,HSP90AA1,Std-07,,,35.0137338,35.12240328,0.126302788,10,1,10,0,64,
G04,FAM,HSP90AA1,Unkn-31,40C,,32.03700757,32.58727432,0.820411988,91.26513497,1.9603049,68.37406537,31.75910678,64,
G05,FAM,HSP90AA1,Unkn-31,40C,,32.19458984,32.58727432,0.820411988,81.74062567,1.912437958,68.37406537,31.75910678,64,
G06,FAM,HSP90AA1,Unkn-31,40C,,33.53022557,32.58727432,0.820411988,32.11643548,1.506727338,68.37406537,31.75910678,64,
H01,FAM,HSP90AA1,NTC,,,NaN,0,0,NaN,NaN,0,0,64,
H02,FAM,HSP90AA1,NTC,,,NaN,0,0,NaN,NaN,0,0,64,
H03,FAM,HSP90AA1,NTC,,,NaN,0,0,NaN,NaN,0,0,64,
A01,HEX,EEF2,Std-01,,,16.49895244,16.36050213,0.155651591,10000000,7,10000000,0,64,
A02,HEX,EEF2,Std-01,,,16.19202451,16.36050213,0.155651591,10000000,7,10000000,0,64,
A03,HEX,EEF2,Std-01,,,16.39052944,16.36050213,0.155651591,10000000,7,10000000,0,64,
A04,HEX,EEF2,Unkn-25,40C,,25.28700075,26.17316935,1.130893274,15214.61341,4.182260922,9749.089594,6003.301023,64,
A05,HEX,EEF2,Unkn-25,40C,,25.78562225,26.17316935,1.130893274,10708.97717,4.029747993,9749.089594,6003.301023,64,
A06,HEX,EEF2,Unkn-25,40C,,27.44688504,26.17316935,1.130893274,3323.678199,3.521618968,9749.089594,6003.301023,64,
B01,HEX,EEF2,Std-02,,,19.14861764,18.92286205,0.203212431,1000000,6,1000000,0,64,
B02,HEX,EEF2,Std-02,,,18.8654018,18.92286205,0.203212431,1000000,6,1000000,0,64,
B03,HEX,EEF2,Std-02,,,18.75456672,18.92286205,0.203212431,1000000,6,1000000,0,64,
B04,HEX,EEF2,Unkn-26,30C,,27.83762625,28.19113263,0.306232217,2524.081011,3.40210329,1999.678081,454.2337885,64,
B05,HEX,EEF2,Unkn-26,30C,,28.37517274,28.19113263,0.306232217,1728.559791,3.237684406,1999.678081,454.2337885,64,
B06,HEX,EEF2,Unkn-26,30C,,28.36059891,28.19113263,0.306232217,1746.39344,3.242142091,1999.678081,454.2337885,64,
C01,HEX,EEF2,Std-03,,,22.61512786,22.49803504,0.140827875,100000,5,100000,0,64,
C02,HEX,EEF2,Std-03,,,22.5372099,22.49803504,0.140827875,100000,5,100000,0,64,
C03,HEX,EEF2,Std-03,,,22.34176737,22.49803504,0.140827875,100000,5,100000,0,64,
C04,HEX,EEF2,Unkn-27,40C,,28.25571603,29.14092704,1.097509213,1880.279998,3.274222526,1196.001997,731.8093338,64,
C05,HEX,EEF2,Unkn-27,40C,,30.36891626,29.14092704,1.097509213,424.4824962,2.627859787,1196.001997,731.8093338,64,
C06,HEX,EEF2,Unkn-27,40C,,28.79814883,29.14092704,1.097509213,1283.243497,3.108309072,1196.001997,731.8093338,64,
D01,HEX,EEF2,Std-04,,,26.08980355,26.06242352,0.040698407,10000,4,10000,0,64,
D02,HEX,EEF2,Std-04,,,26.08181084,26.06242352,0.040698407,10000,4,10000,0,64,
D03,HEX,EEF2,Std-04,,,26.01565616,26.06242352,0.040698407,10000,4,10000,0,64,
D04,HEX,EEF2,Unkn-28,30C,,31.45070513,30.77095029,0.708591738,198.1408179,2.296973951,347.4314482,172.5803624,64,
D05,HEX,EEF2,Unkn-28,30C,,30.82547403,30.77095029,0.708591738,307.7604815,2.488212853,347.4314482,172.5803624,64,
D06,HEX,EEF2,Unkn-28,30C,,30.03667172,30.77095029,0.708591738,536.3930451,2.729483138,347.4314482,172.5803624,64,
E01,HEX,EEF2,Std-05,,,29.17736413,29.27575087,0.085275951,1000,3,1000,0,64,
E02,HEX,EEF2,Std-05,,,29.32147658,29.27575087,0.085275951,1000,3,1000,0,64,
E03,HEX,EEF2,Std-05,,,29.32841191,29.27575087,0.085275951,1000,3,1000,0,64,
E04,HEX,EEF2,Unkn-29,40C,,30.31069925,29.6479698,0.80019217,442.2487073,2.645666572,787.5905686,467.128736,64,
E05,HEX,EEF2,Unkn-29,40C,,28.75902121,29.6479698,0.80019217,1319.09782,3.120277003,787.5905686,467.128736,64,
E06,HEX,EEF2,Unkn-29,40C,,29.87418894,29.6479698,0.80019217,601.4251783,2.779181606,787.5905686,467.128736,64,
F01,HEX,EEF2,Std-06,,,32.52987582,32.48981883,0.138316954,100,2,100,0,64,
F02,HEX,EEF2,Std-06,,,32.6036864,32.48981883,0.138316954,100,2,100,0,64,
F03,HEX,EEF2,Std-06,,,32.33589426,32.48981883,0.138316954,100,2,100,0,64,
F04,HEX,EEF2,Unkn-30,30C,,30.09531624,30.8708785,0.872726493,514.6898313,2.711545588,334.5850792,180.7465292,64,
F05,HEX,EEF2,Unkn-30,30C,,30.7014084,30.8708785,0.872726493,335.8618689,2.5261607,334.5850792,180.7465292,64,
F06,HEX,EEF2,Unkn-30,30C,,31.81591085,30.8708785,0.872726493,153.2035373,2.185268793,334.5850792,180.7465292,64,
G01,HEX,EEF2,Std-07,,,35.72572243,35.57076407,0.137359736,10,1,10,0,64,
G02,HEX,EEF2,Std-07,,,35.52258724,35.57076407,0.137359736,10,1,10,0,64,
G03,HEX,EEF2,Std-07,,,35.46398254,35.57076407,0.137359736,10,1,10,0,64,
G04,HEX,EEF2,Unkn-31,40C,,30.39028814,30.90670956,0.810689974,418.1410305,2.621322785,319.5927159,147.0974337,64,
G05,HEX,EEF2,Unkn-31,40C,,30.48875467,30.90670956,0.810689974,390.1260178,2.591204915,319.5927159,147.0974337,64,
G06,HEX,EEF2,Unkn-31,40C,,31.84108587,30.90670956,0.810689974,150.5110995,2.177568528,319.5927159,147.0974337,64,
H01,HEX,EEF2,NTC,,,NaN,0,0,NaN,NaN,0,0,64,
H02,HEX,EEF2,NTC,,,NaN,0,0,NaN,NaN,0,0,64,
H03,HEX,EEF2,NTC,,,NaN,0,0,NaN,NaN,0,0,64,
