,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,Cy5,HSP90B1,Std-01,,,14.7564979240518,14.7672749902436,0.14175506304533,10000000,7,10000000,0,64,
,A02,Cy5,HSP90B1,Std-01,,,14.6312160453407,14.7672749902436,0.14175506304533,10000000,7,10000000,0,64,
,A03,Cy5,HSP90B1,Std-01,,,14.9141110013382,14.7672749902436,0.14175506304533,10000000,7,10000000,0,64,
,A04,Cy5,HSP90B1,Unkn-01,,,34.0683920518819,33.9119698237036,0.234114479705679,18.0490921667484,1.25645536264683,20.2715757327396,3.38506939078805,64,
,A05,Cy5,HSP90B1,Unkn-01,,,33.6428172146306,33.9119698237036,0.234114479705679,24.1674395510614,1.38323064098487,20.2715757327396,3.38506939078805,64,
,A06,Cy5,HSP90B1,Unkn-01,,,34.0247002045983,33.9119698237036,0.234114479705679,18.598195480409,1.26947080814699,20.2715757327396,3.38506939078805,64,
,A07,Cy5,HSP90B1,Unkn-09,,,33.9849437978358,33.5519579773622,0.411814137827604,19.1123424313732,1.28131391796428,26.3994211215018,7.21269484542604,64,
,A08,Cy5,HSP90B1,Unkn-09,,,33.5057100187871,33.5519579773622,0.411814137827604,26.5505644328751,1.42407375809084,26.3994211215018,7.21269484542604,64,
,A09,Cy5,HSP90B1,Unkn-09,,,33.1652201154637,33.5519579773622,0.411814137827604,33.5353565002571,1.52550292750302,26.3994211215018,7.21269484542604,64,
,A10,Cy5,HSP90B1,Unkn-17,,,33.8465167180457,34.230747988609,0.466018411981273,21.0160076444161,1.32255021774942,16.6782113681737,4.93086595167934,64,
,A11,Cy5,HSP90B1,Unkn-17,,,34.7491271804619,34.230747988609,0.466018411981273,11.3154000138249,1.05366991142606,16.6782113681737,4.93086595167934,64,
,A12,Cy5,HSP90B1,Unkn-17,,,34.0966000673194,34.230747988609,0.466018411981273,17.7032264462802,1.24805242456066,16.6782113681737,4.93086595167934,64,
,B01,Cy5,HSP90B1,Std-02,,,18.1766905580708,18.2097302936078,0.0715123947303056,1000000,6,1000000,0,64,
,B02,Cy5,HSP90B1,Std-02,,,18.29178873404,18.2097302936078,0.0715123947303056,1000000,6,1000000,0,64,
,B03,Cy5,HSP90B1,Std-02,,,18.1607115887126,18.2097302936078,0.0715123947303056,1000000,6,1000000,0,64,
,B04,Cy5,HSP90B1,Unkn-02,,,NaN,0,0,NaN,NaN,0,0,64,
,B05,Cy5,HSP90B1,Unkn-02,,,NaN,0,0,NaN,NaN,0,0,64,
,B06,Cy5,HSP90B1,Unkn-02,,,NaN,0,0,NaN,NaN,0,0,64,
,B07,Cy5,HSP90B1,Unkn-10,,,NaN,0,0,NaN,NaN,0,0,64,
,B08,Cy5,HSP90B1,Unkn-10,,,NaN,0,0,NaN,NaN,0,0,64,
,B09,Cy5,HSP90B1,Unkn-10,,,NaN,0,0,NaN,NaN,0,0,64,
,B10,Cy5,HSP90B1,Unkn-18,,,NaN,0,0,NaN,NaN,0,0,64,
,B11,Cy5,HSP90B1,Unkn-18,,,NaN,0,0,NaN,NaN,0,0,64,
,B12,Cy5,HSP90B1,Unkn-18,,,NaN,0,0,NaN,NaN,0,0,64,
,C01,Cy5,HSP90B1,Std-03,,,21.3742668870619,21.4021162906777,0.104865702996776,100000,5,100000,0,64,
,C02,Cy5,HSP90B1,Std-03,,,21.3139864790936,21.4021162906777,0.104865702996776,100000,5,100000,0,64,
,C03,Cy5,HSP90B1,Std-03,,,21.5180955058777,21.4021162906777,0.104865702996776,100000,5,100000,0,64,
,C04,Cy5,HSP90B1,Unkn-03,,,33.7364306396178,33.8449193533994,0.209291006741821,22.6643863092197,1.35534396402441,21.179884728828,2.90714846988717,64,
,C05,Cy5,HSP90B1,Unkn-03,,,33.7121466663089,33.8449193533994,0.209291006741821,23.0450663000421,1.362577961916,21.179884728828,2.90714846988717,64,
,C06,Cy5,HSP90B1,Unkn-03,,,34.0861807542716,33.8449193533994,0.209291006741821,17.8302015772221,1.25115625306769,21.179884728828,2.90714846988717,64,
,C07,Cy5,HSP90B1,Unkn-11,,,32.8228766182973,32.9927946660378,0.151501759509421,42.4115619793708,1.62748426742622,37.8837016712452,4.01883758638709,64,
,C08,Cy5,HSP90B1,Unkn-11,,,33.0417165434687,32.9927946660378,0.151501759509421,36.5000648309891,1.56229363584595,37.8837016712452,4.01883758638709,64,
,C09,Cy5,HSP90B1,Unkn-11,,,33.1137908363474,32.9927946660378,0.151501759509421,34.7394782033755,1.54082329093616,37.8837016712452,4.01883758638709,64,
,C10,Cy5,HSP90B1,Unkn-19,,,33.3653215257759,33.7676981039002,0.360053729486009,29.2344109046799,1.46589434690173,22.65236247001,5.82550583473198,64,
,C11,Cy5,HSP90B1,Unkn-19,,,33.8782855919198,33.7676981039002,0.360053729486009,20.563002529102,1.31308652893292,22.65236247001,5.82550583473198,64,
,C12,Cy5,HSP90B1,Unkn-19,,,34.0594871940048,33.7676981039002,0.360053729486009,18.159673976248,1.25910804729148,22.65236247001,5.82550583473198,64,
,D01,Cy5,HSP90B1,Std-04,,,24.8309660090485,24.8394033836503,0.0140839603031918,10000,4,10000,0,64,
,D02,Cy5,HSP90B1,Std-04,,,24.8315818894661,24.8394033836503,0.0140839603031918,10000,4,10000,0,64,
,D03,Cy5,HSP90B1,Std-04,,,24.8556622524363,24.8394033836503,0.0140839603031918,10000,4,10000,0,64,
,D04,Cy5,HSP90B1,Unkn-04,,,32.9068985331632,33.1129157152197,0.180145740762244,40.0363818968583,1.60245482322217,34.9413284440175,4.4469997078662,64,
,D05,Cy5,HSP90B1,Unkn-04,,,33.2408276883058,33.1129157152197,0.180145740762244,31.8405123391673,1.50298004726548,34.9413284440175,4.4469997078662,64,
,D06,Cy5,HSP90B1,Unkn-04,,,33.19102092419,33.1129157152197,0.180145740762244,32.9470910960269,1.51781707669295,34.9413284440175,4.4469997078662,64,
,D07,Cy5,HSP90B1,Unkn-12,,,NaN,0,0,NaN,NaN,0,0,64,
,D08,Cy5,HSP90B1,Unkn-12,,,NaN,0,0,NaN,NaN,0,0,64,
,D09,Cy5,HSP90B1,Unkn-12,,,NaN,0,0,NaN,NaN,0,0,64,
,D10,Cy5,HSP90B1,Unkn-20,,,32.4918693938419,32.6488326794052,0.135994411232649,53.2216854678652,1.72608862402601,47.9304782733376,4.58404346235538,64,
,D11,Cy5,HSP90B1,Unkn-20,,,32.7232677031776,32.6488326794052,0.135994411232649,45.4105698756556,1.65715695207273,47.9304782733376,4.58404346235538,64,
,D12,Cy5,HSP90B1,Unkn-20,,,32.731360941196,32.6488326794052,0.135994411232649,45.1591794764921,1.65474604237452,47.9304782733376,4.58404346235538,64,
,E01,Cy5,HSP90B1,Std-05,,,28.3513375074952,28.332753345339,0.0393851787257299,1000,3,1000,0,64,
,E02,Cy5,HSP90B1,Std-05,,,28.3594079468752,28.332753345339,0.0393851787257299,1000,3,1000,0,64,
,E03,Cy5,HSP90B1,Std-05,,,28.2875145816466,28.332753345339,0.0393851787257299,1000,3,1000,0,64,
,E04,Cy5,HSP90B1,Unkn-05,,,NaN,0,0,NaN,NaN,0,0,64,
,E05,Cy5,HSP90B1,Unkn-05,,,NaN,0,0,NaN,NaN,0,0,64,
,E06,Cy5,HSP90B1,Unkn-05,,,NaN,0,0,NaN,NaN,0,0,64,
,E07,Cy5,HSP90B1,Unkn-13,,,NaN,0,0,NaN,NaN,0,0,64,
,E08,Cy5,HSP90B1,Unkn-13,,,NaN,0,0,NaN,NaN,0,0,64,
,E09,Cy5,HSP90B1,Unkn-13,,,NaN,0,0,NaN,NaN,0,0,64,
,E10,Cy5,HSP90B1,Unkn-21,,,NaN,0,0,NaN,NaN,0,0,64,
,E11,Cy5,HSP90B1,Unkn-21,,,NaN,0,0,NaN,NaN,0,0,64,
,E12,Cy5,HSP90B1,Unkn-21,,,NaN,0,0,NaN,NaN,0,0,64,
,F01,Cy5,HSP90B1,Std-06,,,31.7461788577113,31.5906827335731,0.152381943810436,100,2,100,0,64,
,F02,Cy5,HSP90B1,Std-06,,,31.5842506818591,31.5906827335731,0.152381943810436,100,2,100,0,64,
,F03,Cy5,HSP90B1,Std-06,,,31.441618661149,31.5906827335731,0.152381943810436,100,2,100,0,64,
,F04,Cy5,HSP90B1,Unkn-06,,,NaN,0,0,NaN,NaN,0,0,64,
,F05,Cy5,HSP90B1,Unkn-06,,,NaN,0,0,NaN,NaN,0,0,64,
,F06,Cy5,HSP90B1,Unkn-06,,,NaN,0,0,NaN,NaN,0,0,64,
,F07,Cy5,HSP90B1,Unkn-14,,,NaN,0,0,NaN,NaN,0,0,64,
,F08,Cy5,HSP90B1,Unkn-14,,,NaN,0,0,NaN,NaN,0,0,64,
,F09,Cy5,HSP90B1,Unkn-14,,,NaN,0,0,NaN,NaN,0,0,64,
,F10,Cy5,HSP90B1,Unkn-22,,,32.7280371958151,33.0468347347986,0.278241138889067,45.2622520836167,1.6557361590565,36.8302494026468,7.34312149711164,64,
,F11,Cy5,HSP90B1,Unkn-22,,,33.2407911116124,33.0468347347986,0.278241138889067,31.8413111873582,1.50299094316456,36.8302494026468,7.34312149711164,64,
,F12,Cy5,HSP90B1,Unkn-22,,,33.1716758969682,33.0468347347986,0.278241138889067,33.3871849369657,1.52357980276562,36.8302494026468,7.34312149711164,64,
,G01,Cy5,HSP90B1,Std-07,,,34.7582345313304,34.867708243953,0.390203454356291,10,1,10,0,64,
,G02,Cy5,HSP90B1,Std-07,,,34.5439343798414,34.867708243953,0.390203454356291,10,1,10,0,64,
,G03,Cy5,HSP90B1,Std-07,,,35.3009558206871,34.867708243953,0.390203454356291,10,1,10,0,64,
,G04,Cy5,HSP90B1,Unkn-07,,,NaN,0,0,NaN,NaN,0,0,64,
,G05,Cy5,HSP90B1,Unkn-07,,,NaN,0,0,NaN,NaN,0,0,64,
,G06,Cy5,HSP90B1,Unkn-07,,,NaN,0,0,NaN,NaN,0,0,64,
,G07,Cy5,HSP90B1,Unkn-15,,,34.6498728484998,34.6707550566025,0.767391920876476,12.1125886510806,1.0832369686375,13.0607048718059,6.58180041167373,64,
,G08,Cy5,HSP90B1,Unkn-15,,,35.4483749600644,34.6707550566025,0.767391920876476,7.00437988597069,0.845369692223915,13.0607048718059,6.58180041167373,64,
,G09,Cy5,HSP90B1,Unkn-15,,,33.9140173612433,34.6707550566025,0.767391920876476,20.0651460783664,1.302442325834,13.0607048718059,6.58180041167373,64,
,G10,Cy5,HSP90B1,Unkn-23,,,32.0073026897765,31.9647390864361,0.092939297948218,74.2056714389123,1.87043709908626,76.5087922546559,4.95840964562758,64,
,G11,Cy5,HSP90B1,Unkn-23,,,32.0287741521259,31.9647390864361,0.092939297948218,73.120798488942,1.86404092530575,76.5087922546559,4.95840964562758,64,
,G12,Cy5,HSP90B1,Unkn-23,,,31.858140417406,31.9647390864361,0.092939297948218,82.1999068361134,1.91487132531882,76.5087922546559,4.95840964562758,64,
,H01,Cy5,HSP90B1,NTC,,,NaN,0,0,NaN,NaN,0,0,64,
,H02,Cy5,HSP90B1,NTC,,,NaN,0,0,NaN,NaN,0,0,64,
,H03,Cy5,HSP90B1,NTC,,,NaN,0,0,NaN,NaN,0,0,64,
,H04,Cy5,HSP90B1,Unkn-08,,,33.1727262997153,33.2239094961475,0.0492241684427241,33.363138345365,1.52326689634123,32.2244186018365,1.09018927754455,64,
,H05,Cy5,HSP90B1,Unkn-08,,,33.2709073799152,33.2239094961475,0.0492241684427241,31.1903000075647,1.49401955208973,32.2244186018365,1.09018927754455,64,
,H06,Cy5,HSP90B1,Unkn-08,,,33.2280948088119,33.2239094961475,0.0492241684427241,32.1198174525797,1.50677306837618,32.2244186018365,1.09018927754455,64,
,H07,Cy5,HSP90B1,Unkn-16,,,36.2001707725295,35.9909274662729,0.181279923266714,4.18230635625716,0.621415841958198,4.85210210462281,0.580336555141128,64,
,H08,Cy5,HSP90B1,Unkn-16,,,35.8913396655157,35.9909274662729,0.181279923266714,5.16909023741877,0.713414113763931,4.85210210462281,0.580336555141128,64,
,H09,Cy5,HSP90B1,Unkn-16,,,35.8812719607736,35.9909274662729,0.181279923266714,5.2049097201925,0.716413201019993,4.85210210462281,0.580336555141128,64,
,H10,Cy5,HSP90B1,Unkn-24,,,35.0011779112902,35.0567058292994,0.0738949346782037,9.51888437009108,0.978586051293613,9.1709323214161,0.458879556481475,64,
,H11,Cy5,HSP90B1,Unkn-24,,,35.0283632012374,35.0567058292994,0.0738949346782037,9.34303067669058,0.970487774802437,9.1709323214161,0.458879556481475,64,
,H12,Cy5,HSP90B1,Unkn-24,,,35.1405763753707,35.0567058292994,0.0738949346782037,8.65088191746666,0.937060384038855,9.1709323214161,0.458879556481475,64,
,A01,FAM,IL1B,Std-01,,,14.203954612158,14.2025352255537,0.105937454953361,10000000,7,10000000,0,64,
,A02,FAM,IL1B,Std-01,,,14.0958952090752,14.2025352255537,0.105937454953361,10000000,7,10000000,0,64,
,A03,FAM,IL1B,Std-01,,,14.3077558554279,14.2025352255537,0.105937454953361,10000000,7,10000000,0,64,
,A04,FAM,IL1B,Unkn-01,,,34.8297928876931,34.9958027003003,0.160145508656583,9.56353702375164,0.980618543510577,8.58797394987231,0.92778555376918,64,
,A05,FAM,IL1B,Unkn-01,,,35.1493564586957,34.9958027003003,0.160145508656583,7.71679503364437,0.887436965075742,8.58797394987231,0.92778555376918,64,
,A06,FAM,IL1B,Unkn-01,,,35.0082587545121,34.9958027003003,0.160145508656583,8.48358979222091,0.928579660872117,8.58797394987231,0.92778555376918,64,
,A07,FAM,IL1B,Unkn-09,,,36.3903991340519,36.0958316495344,0.562030445255049,3.35398556069635,0.525561188585095,4.29787525065042,1.74879320130441,64,
,A08,FAM,IL1B,Unkn-09,,,36.4493479863414,36.0958316495344,0.562030445255049,3.22383114003064,0.508372285963863,4.29787525065042,1.74879320130441,64,
,A09,FAM,IL1B,Unkn-09,,,35.4477478282098,36.0958316495344,0.562030445255049,6.31580905122428,0.800428991308833,4.29787525065042,1.74879320130441,64,
,A10,FAM,IL1B,Unkn-17,,,34.8375194234626,34.6784909715833,0.38163116354412,9.51405290445851,0.978365562056609,10.8293399521887,2.9248210892025,64,
,A11,FAM,IL1B,Unkn-17,,,34.9548907923006,34.6784909715833,0.38163116354412,8.79308418498906,0.944141231113425,10.8293399521887,2.9248210892025,64,
,A12,FAM,IL1B,Unkn-17,,,34.2430626989867,34.6784909715833,0.38163116354412,14.1808827671184,1.15170326673952,10.8293399521887,2.9248210892025,64,
,B01,FAM,IL1B,Std-02,,,17.6490344025339,17.7054955780883,0.0620069177324751,1000000,6,1000000,0,64,
,B02,FAM,IL1B,Std-02,,,17.7718569878858,17.7054955780883,0.0620069177324751,1000000,6,1000000,0,64,
,B03,FAM,IL1B,Std-02,,,17.6955953438453,17.7054955780883,0.0620069177324751,1000000,6,1000000,0,64,
,B04,FAM,IL1B,Unkn-02,,,35.4404334125484,35.3306562690052,0.134117064730879,6.3469021463827,0.802561802613054,6.85107979544495,0.627411901162284,64,
,B05,FAM,IL1B,Unkn-02,,,35.3703674917293,35.3306562690052,0.134117064730879,6.65261410900142,0.82299233252589,6.85107979544495,0.627411901162284,64,
,B06,FAM,IL1B,Unkn-02,,,35.1811679027378,35.3306562690052,0.134117064730879,7.55372313095074,0.878161062447566,6.85107979544495,0.627411901162284,64,
,B07,FAM,IL1B,Unkn-10,,,34.838797913119,35.0352101772194,0.174734009791253,9.50588962089566,0.977992767110618,8.37038813601022,1.00542329662816,64,
,B08,FAM,IL1B,Unkn-10,,,35.0934332996161,35.0352101772194,0.174734009791253,8.01204916202827,0.903743605465784,8.37038813601022,1.00542329662816,64,
,B09,FAM,IL1B,Unkn-10,,,35.173399318923,35.0352101772194,0.174734009791253,7.59322562510674,0.880426304695909,8.37038813601022,1.00542329662816,64,
,B10,FAM,IL1B,Unkn-18,,,42.6569751501222,40.166394153941,2.21099647978452,0.0499217231028242,-1.30171043291831,0.447434340762866,0.400009126599893,64,
,B11,FAM,IL1B,Unkn-18,,,39.4071696593057,40.166394153941,2.21099647978452,0.442487212056833,-0.354099275956898,0.447434340762866,0.400009126599893,64,
