,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,Cy5,HSP90B1,Std-01,,,15.2748920794486,15.2097691492897,0.0858987300235326,10000000,7,10000000,0,64,
,A02,Cy5,HSP90B1,Std-01,,,15.1124169071251,15.2097691492897,0.0858987300235326,10000000,7,10000000,0,64,
,A03,Cy5,HSP90B1,Std-01,,,15.2419984612952,15.2097691492897,0.0858987300235326,10000000,7,10000000,0,64,
,A04,Cy5,HSP90B1,Unkn-25,,,30.5739896179978,30.8643077768878,0.279618753708214,300.251155019109,2.47748468674092,249.550434592099,47.6754114806716,64,
,A05,Cy5,HSP90B1,Unkn-25,,,31.1318317711956,30.8643077768878,0.279618753708214,205.625291176951,2.31307653027984,249.550434592099,47.6754114806716,64,
,A06,Cy5,HSP90B1,Unkn-25,,,30.8871019414699,30.8643077768878,0.279618753708214,242.774857580238,2.38520370802284,249.550434592099,47.6754114806716,64,
,B01,Cy5,HSP90B1,Std-02,,,18.7433361461218,18.6287641000875,0.101989372904902,1000000,6,1000000,0,64,
,B02,Cy5,HSP90B1,Std-02,,,18.5950739853207,18.6287641000875,0.101989372904902,1000000,6,1000000,0,64,
,B03,Cy5,HSP90B1,Std-02,,,18.5478821688199,18.6287641000875,0.101989372904902,1000000,6,1000000,0,64,
,B04,Cy5,HSP90B1,Unkn-26,,,35.5745395878173,34.9834240472942,0.718549462544521,10.0858935215302,1.00371437892762,16.3603468181678,8.41316253418776,64,
,B05,Cy5,HSP90B1,Unkn-26,,,34.1836340453803,34.9834240472942,0.718549462544521,25.9205580295924,1.41364434698883,16.3603468181678,8.41316253418776,64,
,B06,Cy5,HSP90B1,Unkn-26,,,35.1920985086849,34.9834240472942,0.718549462544521,13.0745889033807,1.11642804248768,16.3603468181678,8.41316253418776,64,
,C01,Cy5,HSP90B1,Std-03,,,22.0476852140439,21.936688574267,0.0985076558804163,100000,5,100000,0,64,
,C02,Cy5,HSP90B1,Std-03,,,21.9027208775865,21.936688574267,0.0985076558804163,100000,5,100000,0,64,
,C03,Cy5,HSP90B1,Std-03,,,21.8596596311704,21.936688574267,0.0985076558804163,100000,5,100000,0,64,
,C04,Cy5,HSP90B1,Unkn-27,,,31.6404127883744,31.6929110338073,0.0989424073277132,145.608489553675,2.16318669680964,140.720831845761,9.26051418961303,64,
,C05,Cy5,HSP90B1,Unkn-27,,,31.8070382006397,31.6929110338073,0.0989424073277132,130.040485241339,2.11407858138117,140.720831845761,9.26051418961303,64,
,C06,Cy5,HSP90B1,Unkn-27,,,31.6312821124077,31.6929110338073,0.0989424073277132,146.513520742268,2.16587770464103,140.720831845761,9.26051418961303,64,
,D01,Cy5,HSP90B1,Std-04,,,25.5190538377602,25.4403718889559,0.0695532035023358,10000,4,10000,0,64,
,D02,Cy5,HSP90B1,Std-04,,,25.4149776459521,25.4403718889559,0.0695532035023358,10000,4,10000,0,64,
,D03,Cy5,HSP90B1,Std-04,,,25.3870841831553,25.4403718889559,0.0695532035023358,10000,4,10000,0,64,
,D04,Cy5,HSP90B1,Unkn-28,,,34.7223600441286,34.5915551790723,0.191333543053947,17.9833308775838,1.25487013499332,19.7658644394025,2.64981673973109,64,
,D05,Cy5,HSP90B1,Unkn-28,,,34.6803477210271,34.5915551790723,0.191333543053947,18.5034229462177,1.26725207592441,19.7658644394025,2.64981673973109,64,
,D06,Cy5,HSP90B1,Unkn-28,,,34.3719577720613,34.5915551790723,0.191333543053947,22.810839494406,1.3581412686646,19.7658644394025,2.64981673973109,64,
,E01,Cy5,HSP90B1,Std-05,,,28.7928583696922,28.9174100466307,0.143562825858785,1000,3,1000,0,64,
,E02,Cy5,HSP90B1,Std-05,,,29.0744247092294,28.9174100466307,0.143562825858785,1000,3,1000,0,64,
,E03,Cy5,HSP90B1,Std-05,,,28.8849470609706,28.9174100466307,0.143562825858785,1000,3,1000,0,64,
,E04,Cy5,HSP90B1,Unkn-29,,,34.1284063980263,34.1870384462029,0.244621025513323,26.9104605249248,1.4299211300091,26.0943784239892,4.194872061268,64,
,E05,Cy5,HSP90B1,Unkn-29,,,33.9770614317002,34.1870384462029,0.244621025513323,29.8212447623036,1.47452576728992,26.0943784239892,4.194872061268,64,
,E06,Cy5,HSP90B1,Unkn-29,,,34.4556475088823,34.1870384462029,0.244621025513323,21.5514299847391,1.33347609184605,26.0943784239892,4.194872061268,64,
,F01,Cy5,HSP90B1,Std-06,,,32.2068968736901,32.2589474809568,0.122245142202766,100,2,100,0,64,
,F02,Cy5,HSP90B1,Std-06,,,32.3986034384849,32.2589474809568,0.122245142202766,100,2,100,0,64,
,F03,Cy5,HSP90B1,Std-06,,,32.1713421306953,32.2589474809568,0.122245142202766,100,2,100,0,64,
,F04,Cy5,HSP90B1,Unkn-30,,,34.8113830835316,35.0176431851829,0.282485969054461,16.9290706904526,1.22863311847009,14.8927647521484,2.70073313935588,64,
,F05,Cy5,HSP90B1,Unkn-30,,,35.3396131331086,35.0176431851829,0.282485969054461,11.8291159789832,1.07295228986927,14.8927647521484,2.70073313935588,64,
,F06,Cy5,HSP90B1,Unkn-30,,,34.9019333389087,35.0176431851829,0.282485969054461,15.9201075870095,1.20194599834428,14.8927647521484,2.70073313935588,64,
,G01,Cy5,HSP90B1,Std-07,,,35.2563243854614,35.4029877796247,0.207413361129452,10,1,10,0,64,
,G02,Cy5,HSP90B1,Std-07,,,35.5496511737881,35.4029877796247,0.207413361129452,10,1,10,0,64,
,G04,Cy5,HSP90B1,Unkn-31,,,NaN,0,0,NaN,NaN,0,0,64,
,G05,Cy5,HSP90B1,Unkn-31,,,NaN,0,0,NaN,NaN,0,0,64,
,G06,Cy5,HSP90B1,Unkn-31,,,NaN,0,0,NaN,NaN,0,0,64,
,H01,Cy5,HSP90B1,NTC,,,NaN,0,0,NaN,NaN,0,0,64,
,H02,Cy5,HSP90B1,NTC,,,NaN,0,0,NaN,NaN,0,0,64,
,H03,Cy5,HSP90B1,NTC,,,NaN,0,0,NaN,NaN,0,0,64,
,A01,FAM,IL1B,Std-01,,,14.0753289247764,14.0282232808023,0.111617970977853,10000000,7,10000000,0,64,
,A02,FAM,IL1B,Std-01,,,13.9007745244648,14.0282232808023,0.111617970977853,10000000,7,10000000,0,64,
,A03,FAM,IL1B,Std-01,,,14.1085663931657,14.0282232808023,0.111617970977853,10000000,7,10000000,0,64,
,A04,FAM,IL1B,Unkn-25,,,32.393542535454,32.6141905751196,0.191323554856249,42.597196044874,1.62938101266336,36.9273112575872,4.9151145039749,64,
,A05,FAM,IL1B,Unkn-25,,,32.7149996284985,32.6141905751196,0.191323554856249,34.3106701725857,1.53542920098865,36.9273112575872,4.9151145039749,64,
,A06,FAM,IL1B,Unkn-25,,,32.7340295614064,32.6141905751196,0.191323554856249,33.874067555302,1.52986734930946,36.9273112575872,4.9151145039749,64,
,B01,FAM,IL1B,Std-02,,,17.5052357972094,17.4620592441886,0.0406240166777068,1000000,6,1000000,0,64,
,B02,FAM,IL1B,Std-02,,,17.4563501894148,17.4620592441886,0.0406240166777068,1000000,6,1000000,0,64,
,B03,FAM,IL1B,Std-02,,,17.4245917459415,17.4620592441886,0.0406240166777068,1000000,6,1000000,0,64,
,B04,FAM,IL1B,Unkn-26,,,36.6422430277614,35.6858260901899,0.87804833801224,2.44128962736302,0.387619305883382,5.17010861322436,2.68064128856568,64,
,B05,FAM,IL1B,Unkn-26,,,34.9162092052064,35.6858260901899,0.87804833801224,7.79982357313329,0.892084779346734,5.17010861322436,2.68064128856568,64,
,B06,FAM,IL1B,Unkn-26,,,35.499026037602,35.6858260901899,0.87804833801224,5.26921263917676,0.721745724888545,5.17010861322436,2.68064128856568,64,
,C01,FAM,IL1B,Std-03,,,20.8376811375504,20.8153194780632,0.0240676813041306,100000,5,100000,0,64,
,C02,FAM,IL1B,Std-03,,,20.7898480772291,20.8153194780632,0.0240676813041306,100000,5,100000,0,64,
,C03,FAM,IL1B,Std-03,,,20.81842921941,20.8153194780632,0.0240676813041306,100000,5,100000,0,64,
,C04,FAM,IL1B,Unkn-27,,,36.39270210354,36.1237656962372,0.534395853587918,2.88770137876777,0.460552280220734,3.62162275634912,1.40031182500658,64,
,C05,FAM,IL1B,Unkn-27,,,35.5083257315101,36.1237656962372,0.534395853587918,5.23633853565238,0.719027716452631,3.62162275634912,1.40031182500658,64,
,C06,FAM,IL1B,Unkn-27,,,36.4702692536614,36.1237656962372,0.534395853587918,2.7408283546272,0.437881838541179,3.62162275634912,1.40031182500658,64,
,D01,FAM,IL1B,Std-04,,,24.2950929385052,24.2489069387653,0.0405876811402502,10000,4,10000,0,64,
,D02,FAM,IL1B,Std-04,,,24.2189219194991,24.2489069387653,0.0405876811402502,10000,4,10000,0,64,
,D03,FAM,IL1B,Std-04,,,24.2327059582914,24.2489069387653,0.0405876811402502,10000,4,10000,0,64,
,D04,FAM,IL1B,Unkn-28,,,37.3274040753525,37.2416384423957,0.120730000385763,1.53945944274136,0.187368251845487,1.63457026418042,0.135505437249045,64,
,D05,FAM,IL1B,Unkn-28,,,37.1035772400002,37.2416384423957,0.120730000385763,1.78972294372191,0.252785805658334,1.63457026418042,0.135505437249045,64,
,D06,FAM,IL1B,Unkn-28,,,37.2939340118345,37.2416384423957,0.120730000385763,1.57452840607799,0.197150500153026,1.63457026418042,0.135505437249045,64,
,E01,FAM,IL1B,Std-05,,,27.6056283764262,27.7593198423823,0.14113199060976,1000,3,1000,0,64,
,E02,FAM,IL1B,Std-05,,,27.8830957228422,27.7593198423823,0.14113199060976,1000,3,1000,0,64,
,E03,FAM,IL1B,Std-05,,,27.7892354278786,27.7593198423823,0.14113199060976,1000,3,1000,0,64,
,E04,FAM,IL1B,Unkn-29,,,35.6958195875753,35.851023337619,0.184763094759382,4.61561048568464,0.664229151305494,4.17896723395559,0.506574656389785,64,
,E05,FAM,IL1B,Unkn-29,,,35.8018527859686,35.851023337619,0.184763094759382,4.29772851411871,0.633238977804079,4.17896723395559,0.506574656389785,64,
,E06,FAM,IL1B,Unkn-29,,,36.055397639313,35.851023337619,0.184763094759382,3.62356270206342,0.559135780743173,4.17896723395559,0.506574656389785,64,
,F01,FAM,IL1B,Std-06,,,31.057923978267,31.1227861879565,0.0632953495224532,100,2,100,0,64,
,F02,FAM,IL1B,Std-06,,,31.1843887100931,31.1227861879565,0.0632953495224532,100,2,100,0,64,
,F03,FAM,IL1B,Std-06,,,31.1260458755093,31.1227861879565,0.0632953495224532,100,2,100,0,64,
,F04,FAM,IL1B,Unkn-30,,,37.7702399756504,37.9656333855914,0.224072811726834,1.14272368021618,0.0579412271886597,1.00941072433062,0.148180115340596,64,
,F05,FAM,IL1B,Unkn-30,,,37.9164468496224,37.9656333855914,0.224072811726834,1.03564175053743,0.0152095501275839,1.00941072433062,0.148180115340596,64,
,F06,FAM,IL1B,Unkn-30,,,38.2102133315014,37.9656333855914,0.224072811726834,0.849866742238233,-0.0706491656357958,1.00941072433062,0.148180115340596,64,
,G01,FAM,IL1B,Std-07,,,34.1942565675531,34.5372641658461,0.485085997502942,10,1,10,0,64,
,G02,FAM,IL1B,Std-07,,,34.880271764139,34.5372641658461,0.485085997502942,10,1,10,0,64,
,G04,FAM,IL1B,Unkn-31,,,36.3093315107803,36.6803515204695,0.557331164223065,3.054350592436,0.484918885903586,2.48452283462001,0.819101264104773,64,
,G05,FAM,IL1B,Unkn-31,,,36.4104758196515,36.6803515204695,0.557331164223065,2.85336665216754,0.455357581254694,2.48452283462001,0.819101264104773,64,
,G06,FAM,IL1B,Unkn-31,,,37.3212472309768,36.6803515204695,0.557331164223065,1.54585125925648,0.189167704076616,2.48452283462001,0.819101264104773,64,
,H01,FAM,IL1B,NTC,,,NaN,0,0,NaN,NaN,0,0,64,
,H02,FAM,IL1B,NTC,,,NaN,0,0,NaN,NaN,0,0,64,
,H03,FAM,IL1B,NTC,,,NaN,0,0,NaN,NaN,0,0,64,
,A01,HEX,EEF2,Std-01,,,15.5438170756826,15.5097362084275,0.106773085353013,10000000,7,10000000,0,64,
,A02,HEX,EEF2,Std-01,,,15.3900830922449,15.5097362084275,0.106773085353013,10000000,7,10000000,0,64,
,A03,HEX,EEF2,Std-01,,,15.5953084573551,15.5097362084275,0.106773085353013,10000000,7,10000000,0,64,
,A04,HEX,EEF2,Unkn-25,,,26.2454354772804,26.3604230504481,0.099868021451177,6905.66093522934,3.83920525087792,6397.11271658935,441.539413358185,64,
