,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,Cy5,HSPA2,Std-01,,,13.0992022594365,13.1082171657006,0.0411840348262662,10000000,7,10000000,0,64,
,A02,Cy5,HSPA2,Std-01,,,13.0722873424239,13.1082171657006,0.0411840348262662,10000000,7,10000000,0,64,
,A03,Cy5,HSPA2,Std-01,,,13.1531618952414,13.1082171657006,0.0411840348262662,10000000,7,10000000,0,64,
,A04,Cy5,HSPA2,Unkn-01,Cool,,37.7924422497367,38.0694222568186,0.687111030452829,151.255339327805,2.17971071423145,138.423932241883,35.8920553712012,64,
,A05,Cy5,HSPA2,Unkn-01,Cool,,38.8517935575935,38.0694222568186,0.687111030452829,97.8797086179709,1.99069266781302,138.423932241883,35.8920553712012,64,
,A06,Cy5,HSPA2,Unkn-01,Cool,,37.5640309631257,38.0694222568186,0.687111030452829,166.136748779873,2.22046570726816,138.423932241883,35.8920553712012,64,
,A07,Cy5,HSPA2,Unkn-09,Hot,,27.0124577646638,27.0810741204849,0.0617042227674933,12681.274929017,4.10316291812006,12331.4223610153,314.147281004905,64,
,A08,Cy5,HSPA2,Unkn-09,Hot,,27.1320033059677,27.0810741204849,0.0617042227674933,12073.4846340698,4.08183263372082,12331.4223610153,314.147281004905,64,
,A09,Cy5,HSPA2,Unkn-09,Hot,,27.0987612908231,27.0810741204849,0.0617042227674933,12239.5075199591,4.08776394349033,12331.4223610153,314.147281004905,64,
,A10,Cy5,HSPA2,Unkn-17,Cool,,31.5639174157155,31.8425840014675,0.403479792892533,1954.58516166443,3.2910545974775,1758.66562433776,277.298036927749,64,
,A11,Cy5,HSPA2,Unkn-17,Cool,,31.658568189255,31.8425840014675,0.403479792892533,1880.03631971045,3.27416623931553,1758.66562433776,277.298036927749,64,
,A12,Cy5,HSPA2,Unkn-17,Cool,,32.3052663994321,31.8425840014675,0.403479792892533,1441.3753916384,3.15877710314948,1758.66562433776,277.298036927749,64,
,B01,Cy5,HSPA2,Std-02,,,16.6219205677603,16.7481307761839,0.1093019693346,1000000,6,1000000,0,64,
,B02,Cy5,HSPA2,Std-02,,,16.8108384289228,16.7481307761839,0.1093019693346,1000000,6,1000000,0,64,
,B03,Cy5,HSPA2,Std-02,,,16.8116333318687,16.7481307761839,0.1093019693346,1000000,6,1000000,0,64,
,B04,Cy5,HSPA2,Unkn-02,Hot,,36.3593342963589,36.1360538457357,1.12978590326002,272.53196693801,2.43541745065132,321.518590493871,154.015331884379,64,
,B05,Cy5,HSPA2,Unkn-02,Hot,,34.9112983669655,36.1360538457357,1.12978590326002,494.069173251321,2.69378775754354,321.518590493871,154.015331884379,64,
