Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
A01,FAM,HSP90AA1,Std-01,,,16.10720161,16.07927831,0.056925993,10000000,7,10000000,0,64,
A02,FAM,HSP90AA1,Std-01,,,16.01378235,16.07927831,0.056925993,10000000,7,10000000,0,64,
A03,FAM,HSP90AA1,Std-01,,,16.11685098,16.07927831,0.056925993,10000000,7,10000000,0,64,
A04,FAM,HSP90AA1,Unkn-01,Cool,,33.390126,33.28190385,0.260327543,41.25263771,1.615451723,44.99485161,8.509200624,64,
A05,FAM,HSP90AA1,Unkn-01,Cool,,33.47066394,33.28190385,0.260327543,38.99808898,1.591043326,44.99485161,8.509200624,64,
A06,FAM,HSP90AA1,Unkn-01,Cool,,32.98492161,33.28190385,0.260327543,54.73382813,1.738255824,44.99485161,8.509200624,64,
A07,FAM,HSP90AA1,Unkn-09,Hot,,32.00891415,32.00614732,0.023814769,108.1562268,2.034051528,108.3752423,1.80357971,64,
A08,FAM,HSP90AA1,Unkn-09,Hot,,32.02845783,32.00614732,0.023814769,106.6911716,2.028128484,108.3752423,1.80357971,64,
A09,FAM,HSP90AA1,Unkn-09,Hot,,31.98106999,32.00614732,0.023814769,110.2783286,2.042490175,108.3752423,1.80357971,64,
A10,FAM,HSP90AA1,Unkn-17,Cool,,34.37132584,34.54761567,0.152726777,20.8009121,1.318082379,18.4642251,2.024238114,64,
A11,FAM,HSP90AA1,Unkn-17,Cool,,34.63165097,34.54761567,0.152726777,17.3454835,1.23918641,18.4642251,2.024238114,64,
A12,FAM,HSP90AA1,Unkn-17,Cool,,34.63987022,34.54761567,0.152726777,17.2462797,1.236695425,18.4642251,2.024238114,64,
B01,FAM,HSP90AA1,Std-02,,,18.85331221,18.7232725,0.112981049,1000000,6,1000000,0,64,
B02,FAM,HSP90AA1,Std-02,,,18.66730643,18.7232725,0.112981049,1000000,6,1000000,0,64,
B03,FAM,HSP90AA1,Std-02,,,18.64919884,18.7232725,0.112981049,1000000,6,1000000,0,64,
B04,FAM,HSP90AA1,Unkn-02,Hot,,35.29004349,35.24836296,0.149099611,10.95593197,1.039649327,11.32056406,1.199619906,64,
B05,FAM,HSP90AA1,Unkn-02,Hot,,35.08285845,35.24836296,0.149099611,12.66019186,1.102440287,11.32056406,1.199619906,64,
B06,FAM,HSP90AA1,Unkn-02,Hot,,35.37218694,35.24836296,0.149099611,10.34556835,1.014754354,11.32056406,1.199619906,64,
B07,FAM,HSP90AA1,Unkn-10,Cool,,38.66757398,36.63802371,1.761156853,1.03760275,0.016031114,6.15192212,4.480199471,64,
B08,FAM,HSP90AA1,Unkn-10,Cool,,35.73445886,36.63802371,1.761156853,8.034552097,0.904961671,6.15192212,4.480199471,64,
B09,FAM,HSP90AA1,Unkn-10,Cool,,35.51203828,36.63802371,1.761156853,9.383611514,0.972370019,6.15192212,4.480199471,64,
B10,FAM,HSP90AA1,Unkn-18,Hot,,40.22096191,40.22096191,0,0.350954173,-0.454749589,0.350954173,0,64,
B11,FAM,HSP90AA1,Unkn-18,Hot,,NaN,0,0,NaN,NaN,0,0,64,
B12,FAM,HSP90AA1,Unkn-18,Hot,,NaN,0,0,NaN,NaN,0,0,64,
C01,FAM,HSP90AA1,Std-03,,,21.79393057,21.73434626,0.079423105,100000,5,100000,0,64,
C02,FAM,HSP90AA1,Std-03,,,21.76493052,21.73434626,0.079423105,100000,5,100000,0,64,
C03,FAM,HSP90AA1,Std-03,,,21.64417768,21.73434626,0.079423105,100000,5,100000,0,64,
C04,FAM,HSP90AA1,Unkn-03,Cool,,29.64813263,29.17388429,0.444095176,561.7287194,2.749526629,806.740511,238.5637846,64,
C05,FAM,HSP90AA1,Unkn-03,Cool,,29.10568886,29.17388429,0.444095176,820.2069836,2.913923463,806.740511,238.5637846,64,
C06,FAM,HSP90AA1,Unkn-03,Cool,,28.7678314,29.17388429,0.444095176,1038.28583,3.016316927,806.740511,238.5637846,64,
C07,FAM,HSP90AA1,Unkn-11,Cool,,37.65141897,37.23449124,0.363945661,2.108600086,0.32399422,2.878867135,0.675124328,64,
C08,FAM,HSP90AA1,Unkn-11,Cool,,37.07168805,37.23449124,0.363945661,3.160032576,0.49969156,2.878867135,0.675124328,64,
C09,FAM,HSP90AA1,Unkn-11,Cool,,36.9803667,37.23449124,0.363945661,3.367968743,0.527368052,2.878867135,0.675124328,64,
