Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
A01,FAM,HSP90AA1,Std-01,,,16.18080356,16.14824283,0.122817863,10000000,7,10000000,0,64,
A02,FAM,HSP90AA1,Std-01,,,16.01242553,16.14824283,0.122817863,10000000,7,10000000,0,64,
A03,FAM,HSP90AA1,Std-01,,,16.25149938,16.14824283,0.122817863,10000000,7,10000000,0,64,
A04,FAM,HSP90AA1,Unkn-25,Cool,,34.10472075,34.57445744,0.759680142,23.11168258,1.363831564,18.04308834,7.921984073,64,
A05,FAM,HSP90AA1,Unkn-25,Cool,,35.45090548,34.57445744,0.759680142,8.914108055,0.950077894,18.04308834,7.921984073,64,
A06,FAM,HSP90AA1,Unkn-25,Cool,,34.1677461,34.57445744,0.759680142,22.10347437,1.344460544,18.04308834,7.921984073,64,
A07,FAM,HSP90AA1,Unkn-33,Cool,,31.7278365,31.86580194,0.125031662,124.2720994,2.094373635,113.0093332,10.14744605,64,
A08,FAM,HSP90AA1,Unkn-33,Cool,,31.89794625,31.86580194,0.125031662,110.1767418,2.042089925,113.0093332,10.14744605,64,
A09,FAM,HSP90AA1,Unkn-33,Cool,,31.97162308,31.86580194,0.125031662,104.5791585,2.019445143,113.0093332,10.14744605,64,
A10,FAM,HSP90AA1,Unkn-41,Hot,,31.6856788,31.80166871,0.114761303,128.0356541,2.107330924,118.2051286,9.605066478,64,
A11,FAM,HSP90AA1,Unkn-41,Hot,,31.80416672,31.80166871,0.114761303,117.7370986,2.070913329,118.2051286,9.605066478,64,
A12,FAM,HSP90AA1,Unkn-41,Hot,,31.91516062,31.80166871,0.114761303,108.8426331,2.03679904,118.2051286,9.605066478,64,
B01,FAM,HSP90AA1,Std-02,,,18.90586954,18.8705541,0.040886206,1000000,6,1000000,0,64,
B02,FAM,HSP90AA1,Std-02,,,18.88003118,18.8705541,0.040886206,1000000,6,1000000,0,64,
